hub_id,lat,lon,elev_m,dist_km,cap_mean,cap_std,cap_lcb_at_base_area,feasible,pv_area_m2,required_pv_area_m2
3,20.954573119188503,334.8760112060885,-3379.0,2490.309887981602,1228.1168051456023,5.223046756227002,1219.55100846539,True,3000.0,3000.0
3,47.4545731191885,345.8760112060885,-4618.0,947.0438439379243,310.6013579898445,3.2637337637536277,305.24883461728854,True,3931.2189398020882,3931.2189398020882
3,12.454573119188503,16.87601120608852,-926.0,2497.9013882961463,1556.8013363494124,5.842432514997793,1547.2197470248161,True,3000.0,3000.0
3,34.9545731191885,10.87601120608852,-1975.0,1142.2826903727016,762.9254933624759,3.8741507750261883,756.5718860914329,True,3000.0,3000.0
4,44.514573119188505,302.50284188422273,-1878.0,636.267088800858,414.18050349063213,3.013576607758317,409.2382378539085,True,3000.0,3000.0
4,22.514573119188505,298.50284188422273,-415.0,1555.034903825982,1258.402245370271,1.5288941311519384,1255.8948589951817,True,3000.0,3000.0
4,16.514573119188505,320.50284188422273,-3163.0,2426.222849799771,1378.365416196364,6.462877148477192,1367.7662976728616,True,3000.0,3000.0
4,5.514573119188505,286.00284188422273,1130.0,2471.9927436563453,1569.452040643675,4.187710191785977,1562.584195929146,True,3000.0,3000.0
4,33.514573119188505,286.00284188422273,237.0,817.2286640021973,854.5402326627964,4.429547232697066,847.2757752011731,True,3000.0,3000.0
4,7.514573119188505,304.00284188422273,320.0,2494.9942599416236,1575.1179167988084,7.723342167484261,1562.4516356441343,True,3000.0,3000.0
4,29.014573119188505,261.50284188422273,1418.0,1609.1928573617265,1060.8460109471985,4.438500775944749,1053.566869674649,True,3000.0,3000.0
4,47.014573119188505,287.50284188422273,-688.0,15.773117406818905,333.8765522267289,2.515762998526427,329.75070090914556,True,3639.1128106521587,3639.1128106521587
4,32.014573119188505,236.00284188422273,1107.0,2463.61146856038,932.3234083560544,4.744771886307461,924.5419824625102,True,3000.0,3000.0
4,11.514573119188505,314.00284188422273,-2568.0,2491.613804406557,1500.080591639172,11.359826614969595,1481.450475990622,True,3000.0,3000.0
5,44.234573119188504,68.3131101086353,-3216.0,1687.5554934998308,417.5218759317971,1.7157115706178687,414.70810895598385,True,3000.0,3000.0
5,23.734573119188504,11.313110108635293,-2083.0,1914.1347121879573,1168.2678436562048,4.5630725834090065,1160.784404619414,True,3000.0,3000.0
5,44.234573119188504,91.8131101086353,-4342.0,2496.843589321287,413.77384278475375,2.244328927741035,410.0931433432585,True,3000.0,3000.0
5,31.234573119188504,76.8131101086353,-1843.0,2495.8313594361007,905.136851653006,6.204811008482239,894.9609615990952,True,3000.0,3000.0
5,33.234573119188504,50.31311010863529,-662.0,1579.0970270402086,850.0160541726713,5.1026665450057305,841.6476810388618,True,3000.0,3000.0
5,31.734573119188504,353.31311010863527,-2514.0,1921.5457439571385,873.7864205610026,7.894112341906324,860.8400763202762,True,3000.0,3000.0
5,47.234573119188504,51.31311010863529,-2572.0,1004.62282727806,320.68896983535603,2.936320776325498,315.8734037621822,True,3798.9903097491156,3798.9903097491156
5,15.734573119188504,49.31311010863529,313.0,2494.6662012124234,1522.8178439928165,2.712770464354555,1518.368900431275,True,3000.0,3000.0
5,47.734573119188504,95.3131101086353,-4671.0,2490.287990839116,301.83948952106323,3.619014655103617,295.9043054866933,True,4055.3651222691096,4055.3651222691096
